 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1604/1620,Commercial,Offices,1604,04/28/2016,08:14|08:17|08:17|08:17,11|Telephone direct|Telephone|T,Strong Smell Of Smoke,Habitat Centre,Old Mutual,. FAURE MARINE DRIVE ( R . 44 ),MOUNTAINSIDE ESTATES,HELDERBERG,125,DD/78,,Barker,,F=SND,00:24|00:05|00:27|00:12,Fire - automatically extinguished,Commercial|Offices,Fine,Nil,15 - 20 Deg,Printer Over-Heat,Minor Structural Fire,Fire Out Before Arrival Of Brigade,Ensure Area Is Safe,Nil,Electrical Faults,Printer Over-Heat,,,,,Printer Faulty & Over-Heat,,,No,,,,,,,,,,,1,,,,East,Somerset West|Macassar|Strand,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525264993
F1604/1689,Commercial,Garage/Workshop,1604,04/29/2016,15:42|15:44|15:44|15:44,11|Telephone direct|Telephone|T,Vegetation Alight,Multisave,,DENNEGEUR LAAN / AVENUE,STRANDFONTEIN,CAPE TOWN,106,CT/39,,,WARD 43 ( SC 19 ),F=MPN,00:35|00:27,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Light Breeze,20 - 25 Deg,Rags And Spray Painting Equipment.,Minor Structural Fire,Owner Extinguished Before Arrival.,Inspected Premises And Made Area Safe.,,Welding and Cutting,Open Flame,,0,,,Area Of Rags Burnt,,,,,,,,,,,,,,1,,,,East,Mitchells Plain,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529744811
F1604/1754,Commercial,Other,1604,04/30/2016,16:38|16:40|16:40|16:40,11|Telephone direct|Telephone|T,Shop Alight,Station Deck Top Side,Taxi Rank,HERTZOG BOULEVARD,CENTRAL,CAPE TOWN,26,CA/24,,CHRISTIAAN BARNARD,,F=RDS,02:12:00 AM,Fire - manually extinguished,Industry|Electronics,Fine,Nil,15 - 20 Deg,Electrical Box And Cables,Miscellaneous,Prasa Security Used 1 Dcp,Extinguished Fire,2 Dcp Extinguishers,Electrical Faults,Electrical,,,,,,,,,,,,,,,,,,,,1,,,West,Roeland Street,Category 2|Lamp Standards/Traffic Lights/Transformers/Sub Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525429988
F1605/0026,Commercial,Shop,1605,05/01/2016,07:14|07:16|07:16|07:16,11|Telephone direct|Telephone|T,Air Conditioning System Alight In Store,Pick N Pay,,VICTORIA ROAD,CAMPS BAY,CAPE TOWN,42,CD/18,,,WARD 74 ( SC 16 ),F=SPT,01:05|00:11|00:55|00:50,Fire - manually extinguished,Commercial|Department Stores,Fine,Nil,20 - 25 Deg,Cardboard Boxes And Newspapers Etc.,Minor Structural Fire,,Extinguished: With One Fog Jet From E48 Motor Pump,1 X Hosereel,Open Flames,Vagrants Fire,1200,,MP,12:10:00 AM,"Building: Generator Room: Roof Void: Roof Slates, Roofing Timber, Walls, Electrical Wires And Airconditioning Pipes Severe By Fire, Heat, Smoke And Water. Remainder Of Building Slight By Water Only.|Contents Consisting Of Generators And Distrabution Boxes Etc. Slight By Water Only",,,,,,,,,,,,,,,1,,,West,Sea Point|Roeland Street,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525428974
F1605/0034,Commercial,Shop,1605,05/01/2016,10:13|10:15|10:15|10:15,11|Telephone direct|Telephone|T,Fire In The Kitchen,,,LINCOLN ROAD,LAKESIDE,SOUTH PENINSULA,103,CV/28,,MAIN ROAD,WARD 64 ( SC 19 ),F=LKE,00:22|00:39|00:22,False Alarm - Good Intent,Commercial|Restaurants & Cafes,,,,,False Alarm,,Nil,Nil,,F.A.G.I,,,,,,,,,,,,,,,,,,,1,,,,West,Lakeside,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527936945
F1605/0099,Commercial,Other,1605,05/02/2016,03:10|03:12|03:12|03:12,"13|Direct 107""|Direct ""107"" call|D""",Building Alight,Workshop,,,Makhaya,Khayelitsha,,,,,,F=KYA,00:29|00:27|00:22,Fire - manually extinguished,Commercial|Garages & Workshops,Raining,Nil,0 - 10 Deg,Wood And Iron Structure,Average Structural Fire,,Extinguished Fire With Water Using One Fog Jet From E18 Backed Up By E26a,One Hose Reel,Heating,Fire Started Due To Unattended Brazer Fire,2400,,MP,12:16:00 AM,Entire Rear On Wood And Iron Structure Used As Storage For Equipment Destroyed By Fire Heat Smoke And Water. Contents: Consisting Of Workshop Equipment Destroyed By Fire Heat Smoke And Water,,,,,,,,,,,,,,,1,,,East,Khayelitsha|Lansdowne,Category 2|Commercial (Low Risk),,,,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525601901
F1605/0203,Commercial,Shop,1605,05/03/2016,22:34|22:35|22:35|22:35,11|Telephone direct|Telephone|T,Rubbish Alight,KHAYELITSHA SHOPPING MALL,,WALTER SISULU ROAD,KHAYELITSHA,CAPE TOWN,PAGE 92,CQ 53,,STEVE BIKO,,F=KYA,12:38:00 AM,Fire - manually extinguished,Transport|Cars & Motorcycles,Fine,Nil,10 - 15 Deg,The Entire Caravans And Contents Burned.,Minor Structural Fire,Nil,Extinguished The Fire With One Fog Jet From E18.,Hose Reel X 1.,Other,,,,MP,,"Entire Caravans And Contents Sever By Fire , Heat, Smoke And Water.",,,,,,,,,,,,,,,,,,East,Khayelitsha,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526233932
F1604/0002,Commercial,Department Stores,1604,04/01/2016,02:37|02:40|02:40|02:40,11|Telephone direct|Telephone|T,Smell Of Smoke In Building,,,SIDMOUTH ROAD,MUIZENBERG,SOUTH PENINSULA,103,CX/29,,York Road,WARD 64 ( SC 19 ),F=LKE,00:51|00:28|00:25,False Alarm - Good Intent,N/A,,,,,False Alarm,,Ensured Area Safe.,Tic,,False Alarm Good Intent,,,,,,,,,,,,,,,,,,,1,,,,West,Lakeside|Wynberg|Ottery,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529055408
F1605/0231,Commercial,Other,1605,05/04/2016,11:37|11:38|11:38|11:38,11|Telephone direct|Telephone|T,Container Alight,,,FUKUTHA ROAD,MAKHAZA,KHAYELITSHA,147(14TH EDITION),CR/58,,,,F=KYA,01:19|01:19|01:03,Fire - manually extinguished,Commercial|Garages & Workshops,Clear,Nil,20 - 25 Deg,"Wood And Iron Structure: Household Funiture And Workshop Equipment. 1 Metal Container: Clothing And Sewing Machines. 1 Metal Container: Food Poducts And Kooking Equipment, Fridge, Stove Ect.",Average Structural Fire,,Extinguished Fire With One Fog Jet 9 Min(1200lt). 2 Jets 61 Min (16000lt),"1 Hose Reel, 5x45mm Hose And 2 Branches",Other,Unknown Ignition Source Igniting Combustable Material In One Of The Structures.,16000,,MP|SH|WT,01:10:00 AM,"Wood And Iron Structure With Contents Consisiting Of Household Furniture, And Workshop Equipment Totaly Destroyed By Fire Heat Smoke And Water. Metal Containers Partly Damaged By Fire Heat Smoke And Water: Contents Moderate By Fire Heat Smoke And Water.",,,"Forced Entry Into One Container Using Halgan Tool,",,,,,,,,,,,,1,,,East,Khayelitsha|Mfuleni|Mitchells Plain,"Category 2|Bush, Grass, Vegetation",,,,4,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525615040
F1605/0240,Commercial,Other,1605,05/04/2016,13:28|13:29|13:29|13:29,11|Telephone direct|Telephone|T,Building S Roof On Fire At Scrap Yard,,,MODDERDAM ROAD ( ROBERT SOBUKWE )( M10 ),BELLVILLE,TYGERBERG,40,,,,,F=BHR,00:18|00:09|00:13,Fire - manually extinguished,Commercial|Shops,Fine,Nil,20 - 25 Deg,Rubbish,Rubbish Fire,Owner Extinguish Fire With Garden Hose,,,Open Flames,Vagrants Burning Rubbish Inside Building,,,,,Small Quantity Of Rubbish Burned,,,,,,,,,,,,,,1,,,,North,Bellville|Belhar,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525622599
F1605/0248,Commercial,Offices,1605,05/04/2016,17:05|17:07|17:07|17:07,11|Telephone direct|Telephone|T,Fire In Kitchen At Offices,Get Smarter,,MAIN ROAD,OBSERVATORY,CAPE TOWN,83(14TH EDITION),CC/28,,BROWNING,,F=SLR,00:18|00:22,Fire - manually extinguished,Commercial|Offices,Fine,Light Breeze,20 - 25 Deg,Biscuits,Minor Structural Fire,Occupants Isolated Oven Before Arrival Of Brigade.,Brigade Made Area Safe,Nil,Heating,Biscuits Left Attended In Hot Stove Ignited,,,,,Building: Second Floor: Kitchen: Nil|Content: A Small Quantity Of Biscuits Burned. Remainder: Nil,,,,,,,,,,,,,,,,,,West,Salt River,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527031489
F1605/0266,Commercial,Other,1605,05/05/2016,00:36|00:39|00:39|00:39,11|Telephone direct|Telephone|T,Boat Alight In Premisses,S.A.Film Studio,,BADEN POWELL DRIVE (R 310) (BETWEEN N . 2 AND OLD FAURE ROAD),MFULENI,TYGERBERG,95,CR/66,,,WARD 108 ( SC 21 ),F=MFU,02:58|02:59|03:45|02:57|02:19,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Light Breeze,15 - 20 Deg,Large Wooden Ship Well Alight,Minor Structural Fire,,Used One Jet From E3a(3000l) Backed Up By W23a(4500l) And Two Ba Sets As Well As One Ground Monitor And Later Used One Built In Monitor Of W17(10000l) Backed Up By A Private Fire Hydrant Were Used To Extinguish The Fire And Make The Area Safe.,"2 X Ba Sets, 4 X 45mm Hoses And 6 X 65mm Hoses",Undetermined,Undetermind,17500,,MP|WT|PH,02:17:00 AM,"Entire Structure And Contents Severe By Fire, Heat, Smoke And Water",,,,,,,,,,,,,,1,1,,,East,Mfuleni|Belhar,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526115311
F1605/0347,Commercial,Other,1605,05/06/2016,03:37:00 PM,Telephone Direct,Container Alight,JOE SLOVO PARK,,KOEBERG ROAD,MILNERTON,CAPE TOWN,14,BB/33,,FREEDOM WAY,,F=MIL,01:21|00:18|01:20|00:21,Fire - manually extinguished,Commercial|Shops,Fine,Light Breeze,15 - 20 Deg,Contents Of Container That Was Used As Building Supplies Storage,Minor Structural Fire,Fire Extinguished Prior To Arrival With Hose Pipe,Ensured Safety And Help Unpack Container,"1 X Fog Jet, 2 X Ba Sets, 1 X Haligon Tool",Cooking,"Cooking Fire Next To Container Got Out Of Hand, Heating And Igniting Plastic In Container",,500,MP,12:10:00 AM,,,,,,,,,,,,,,,,,,,North,Milnerton|Goodwood|Melkbos,Category 1|No Charge,,,,3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527326741
F1605/0464,Commercial,Other,1605,05/08/2016,08:14|08:14|08:15,Telephone Direct,Building Alight,Goodwood Spares,,HALT ROAD,ELSIES RIVIER,ELSIES RIVER,30,"BZ,CA,CB,CC/41,42",,6th Avenue,,F=GWD,01:46|01:46|01:32|01:39|00:44|01:07|01:03,Fire - manually extinguished,Commercial|Department Stores,Fine,Light Breeze,15 - 20 Deg,"Bed, Bedding, Personal Effects, Structural Materials Etc.",Average Structural Fire,Occupants Evacuated Premises And Left Scene Prior Arrival Of Brigade.,Extinguished With 3 Jets From E52 M/Pump.,"8 X 65mm, 5 X 45mm Hose, 3 X Akron Branched, Ceiling Hook, Short Extension Ladder, 6 X S.C.B.A Sets(20min), Standpipe And Keys.",Open Flames,"Lighted Candle Overturning Igniting Bed, Bedding Etc.",36120,,MP|SH|WT,12:20:00 AM,"Building: Office Space At Rear Of Business Premises Converted To Suspected Sleeping Quarters: Corrugated Iron/Asbestos Roof Sheeting, Roofing Timbers, Ceilings, Walls, Doors, Windows And Floor Severe By Fire, Heat, Smoke And Water.|Contents: Contents Consisting Of Bed, Bedding, Furniture Appliances And Personal Effects Etc.Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,1,,,North,Goodwood|Epping|Belhar,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527248518
F1605/0535,Commercial,Garage/Workshop,1605,05/09/2016,13:54|13:57|13:57|13:57,51|Direct report|Verbal/direct report|V,Motor Vehicle Alight,Goodhope Tyres,,VICTORIA ROAD,Saltriver,CAPE TOWN,CC-28/29/30/31,35,,,,F=SLR,12:33:00 AM,Fire - manually extinguished,Commercial|Garages & Workshops,Fine,Light Breeze,20 - 25 Deg,Two Motor Vehicles,Vehicle Fire,Two Vehicles Alight At Service Workshop. FPO Williams Extinguished Fire With One DCP,Brigade Secure Crime Scene And Made Area Safe,Cordoning Off Tape,Arson,Arsonist Petrol Bomb Ignited Motor Vehicles.(Woodstock SAPS 208/5/2016),,,,,"Building: Floor Slight By Fire, Heat, Smoke And DCP.|Content: Vw Gti 2011 (Ca 291 763) And Hyundai GERTZ(SHIBBY1 WP): Engine Compartments Slight By Fire, Heat, Smoke And Dcp.",,,,,,,,,,,,,,,,,,West,Salt River,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528021167
