,,,,,,,,,,,,,,,,,,,,,,,,,
"*** Query Name:Query 1 ***

    Start Date : 10/1/2016 12:00:00 AM
30002611,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (OTHER),10/1/2016 1:07:29 AM,,LINK AVENUE,MACASSAR,Special Service,,,,,,,,,,,,,,,,,,East
30002612,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 2:10:15 AM,17,SHOWBOAT AVENUE,MARVINPARK,Special Service,,,,,,,,,,,,,,,,,,East
30002613,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 2:12:08 AM,,CLAREMONT AVENUE,KENILWORTH,Special Service,,,,,ER24 M146 in attendance,,,,,,,,,,,,,West
30002614,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 2:49:52 AM,,SONWABISANE STREET,SABATA DALINDYEBO SQUARE,Fire manually extinguished,,10 - 15 Deg,Moderate,Overcast,nil,0 - 5 min,,,0,,,"10,000",0,,,City of Cape Town,,East
30002614,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 2:49:52 AM,,SONWABISANE STREET,SABATA DALINDYEBO SQUARE,Fire manually extinguished,,10 - 15 Deg,Moderate,Overcast,nil,,,,0,,,"10,000",0,,,City of Cape Town,,East
30002615,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 3:47:41 AM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,,,,,,,,,,,,,,West
30002616,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 4:00:24 AM,,PAMA ROAD,NONQUBELA,Special Service,,,,,,,,,,,,,,,,,,North
30002617,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/1/2016 5:43:38 AM,2,FRITZ WAY,OTTERY,,,,,,,,,,,,,,,,,,,
30002618,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 6:15:10 AM,,KASSELSVLEI ROAD,BELLVILLE SOUTH,Special Service,,,,,,,,,,,,,,,,,,East
30002619,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 8:19:29 AM,,KOEBERG ROAD,MILNERTON,Special Service,,,,,,,,,,,,,,,,,,North
30002620,TRAUMA EMERGENCY - CPR,TRAUMA - CPR IN PROGRESS,10/1/2016 9:19:32 AM,,35TH AVENUE,CONNAUGHT,Special Service,,,,,,,,,,,,,,,,,,North
30002621,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 9:43:20 AM,,MAIN ROAD,MUIZENBERG,Special Service,,,,,,,,,,,,,,,,,,
30002622,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 10:00:02 AM,1,HEIDEVELD ROAD,WELCOME,Special Service,,,,,SAPS AND METRO AMBULANCE 62 ON SCENE.1 X ADULT MALE CONDITION YELLOW WAS TRANSPORTED BY METRO AMBULANCE 62 TO HEIDEVELD DAY HOSPITAL .,,,,,,,,,,,,,North
30002623,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 10:21:13 AM,,N2,DRIFTSANDS,,,,,,,,,,,,,,,,,,,
30002624,VEHICLE MOVEMENT,OPERATIONAL STANDBY,10/1/2016 11:48:15 AM,,BIND AVENUE,MACASSAR,,,,,,,,,,,,,,,,,,,East
30002625,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 12:13:52 PM,,PLANTATION ROAD,OTTERY,,,,,,,,,,,,,,,,,,,
30002626,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 12:26:03 PM,41,SALT RIVER ROAD,SALT RIVER,Special Service,,,,,Male minor knocked down by motor vehicle. Pt dazed. found seated. Hematoma was found base of skull.,,,,,,,0,0,,,,,West
30002627,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 12:50:44 PM,,VOORTREKKER ROAD,BELLVILLE CBD,,,,,,,,,,,,,,,,,,,
30002628,RESIDENTIAL FIRE,RESIDENTIAL FIRE - FORMAL,10/1/2016 1:17:53 PM,40,OUDEVLEI ROAD,MUIZENBERG,Fire manually extinguished,,15 - 20 Deg,Moderate,Fine,occupants extinguished fire by using a garden hose before the arrival of the brigade.,,,,,,"Garage at side of dwelling :floor, walls , roof beams and roof- severe by fire, heat, smoke and water.","150,000","30,000",1,1,Stephen Marr(021 7889420) e-mail: stemar@mweb.co.za,Stephen Marr,West
30002629,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 2:58:52 PM,,OLD SIR LOWRYS PASS ROAD,STELLENBOSCH FARMS,,,,,,,,,,,,,,,,,,,
30002630,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 3:04:58 PM,,JORGENSENS AVENUE,DOOR DE KRAAL,,,,,,,,,,,,,,,,,,,
30002631,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 3:24:14 PM,1,DAMMERT STREET,BELLVILLE SOUTH,,,,,,,,,,,,,,,,,,,
30002632,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 11:46:49 AM,,N2,CAPE TOWN AIRPORT,False Alarm - Good Intent,,,,,Fire out before arrival of brigade.,,,,,,,,,,,,,East
30002633,SPECIAL INCIDENTS - FIRE SERVICE,FIRE SERVICE MISCELLANEOUS - ASSIST PRIVATE COMPAN,10/1/2016 12:20:35 PM,25,COCKBURN STREET,GLENCAIRN,Special Service,,,,,Metro ambulance 23 on scene rendering medical assistance.,,,,,,,0,0,,,,,West
30002634,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 12:26:07 PM,,300,PHILIPPI,,,,,,,,,,,,,,,,,,,
30002635,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 12:38:55 PM,54,BURGUNDY DRIVE,BURGUNDY ESTATE,Special Service,,,,,,,,,,,,,,,,,,
30002636,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 12:48:46 PM,,WELTEVREDEN ROAD,PHILIPPI,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,,,,,"1,600",,,0,0,,,"Akuna Matata Trust,  Audus Sttreet Somerset West (LIS383581)",,East
30002637,MEDICAL EMERGENCY,MEDICAL - OBSTETRIC COMPLAINT,10/1/2016 2:04:38 PM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,one adult female pregnant was brought to fire station.,,,,,,,,,,,,,West
30002638,TECHNICAL RESCUE,RESCUE - PERSONS TRAPPED - GENERAL,10/1/2016 2:12:38 PM,31,MEERMIN ROAD,AVONDALE,Special Service,,,,,,,,,,,,,,,,,,North
30002639,TECHNICAL RESCUE,RESCUE - PERSONS TRAPPED - GENERAL,10/1/2016 2:44:44 PM,,SEVENTH AVENUE,FISH HOEK,Special Service,,,,,DMC on scene damming with sand bags.,,,,,,,,,,,,,West
30002640,TRANSPORT FIRE,TRANSPORT FIRE - SHIP,10/1/2016 3:28:51 PM,,HOUT BAY HARBOUR ROAD,HOUT BAY,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Overcast,Extinguished by crew with dcp fire ectinguisher and one CO2 fire extinguisher,,,,0,,"Motor Vessel : Sandelene : Engine Room : Insulation of electrical wiring in DB board sever by fire, heat, smoke and water. Remainder nil",0,"10,000",,,L Moir & A Watson,A Watson,West
30002641,MEDICAL EMERGENCY,MEDICAL - UNABLE TO BREATHE,10/1/2016 3:42:06 PM,,DAGBREEK AVENUE,WESTRIDGE,Special Service,,,,,,,,,,,,,,,,,,East
30002642,OTHER FIRE,OTHER FIRE - PLANTATIONS AND FORESTS,10/1/2016 3:48:32 PM,,VAN RIEBEECK ROAD,Eeerstervier,False Alarm - Good Intent,,,,,Nil,,,,,,,0,0,,,,,East
30002643,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 4:13:41 PM,12,OLD MAIN ROAD,FIRGROVE,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Clear,,0 - 5 min,,,750,,,,,,, City of Cape Town,Public open space,East
30002644,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 5:18:32 PM,,MEMANI CRESCENT,NYANGA,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,Residents extinguished fire with water buckets.,,,,0,,,"40,000","10,000",,,City of Cape Town,Thulani,East
30002645,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 5:40:20 PM,,BRISBANE ROAD,EINDHOVEN,Special Service,,,,,,,,,,,,,,,,,,East
30002646,MEDICAL EMERGENCY,MEDICAL - UNABLE TO BREATHE,10/1/2016 5:52:42 PM,,KAHLENBERG CRESCENT,STRAND,,,,,,,,,,,,,,,,,,,
30002647,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 6:37:38 PM,106,BONGO DRIVE,NONQUBELA,False Alarm - Good Intent,,,,,False alarm good intent: see no sign of motor vehicle accident,,,,,,,,,,,,,East
30002648,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 6:55:12 PM,,SIMON STREET,NOMZAMO,,,,,,,,,,,,,,,,,,,
30002649,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 10:38:05 PM,,SPINE ROAD,STRANDFONTEIN,,,,,,,,,,,,,,,,,,,
30002650,TRAUMA EMERGENCY - BLEEDING,TRAUMA - BLEEDING,10/1/2016 10:44:48 PM,,KOEBERG ROAD,MILNERTON,,,,,,,,,,,,,,,,,,,
30002651,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 10:58:58 PM,,EMMS DRIVE,NYANGA,Special Service,,,,,Ambulance on scene,,,,,,,,,,,,,North
30002652,,,10/1/2016 5:35:55 PM,,,BELLBELLVILLE,Special Service,,,,,,,,,,,,,,,,,,North
30002653,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 6:10:13 PM,,GOVAN MBEKI ROAD,PHILIPPI,Special Service,,,,,,,,,,,,,,,,,,East
30002654,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 6:57:34 PM,,EDWARD ROAD,OTTERY,,,,,,,,,,,,,,,,,,,
30002655,MEDICAL EMERGENCY,MEDICAL - RESPIRATORY COMPLAINT,10/1/2016 7:04:57 PM,,ADAM TAS AVENUE,BELHAR EXT 13,Special Service,,,,,,,,,,,,,,,,,,East
30002656,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 7:10:54 PM,,mew way,khayalitsha,,,,,,,,,,,,,,,,,,,
30002657,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 7:41:39 PM,12,DISA ROAD,VRYGROND,Special Service,,,,,,,,,,,,,,,,,,West
30002658,MEDICAL EMERGENCY,MEDICAL - NEUROLOGICAL COMPLAINT,10/1/2016 7:50:17 PM,26,KOORNHOOP  ROAD,WESTRIDGE,,,,,,,,,,,,,,,,,,,
30002659,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 8:14:09 PM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,one adult male was brought to fire station.,,,,,,,,,,,,,West
30002660,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 8:29:13 PM,,VAN RIEBEECK ROAD,SONNEKUIL,Special Service,,,,,Nil,,,,,,,0,0,,,,,East
30002661,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 8:35:15 PM,,HAARLEM AVENUE,BELHAR EXT 13,Special Service,,,,,,,,,,,,,,,,,,East
30002662,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 8:42:41 PM,,,,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,,25 - 30 min,,,0,,"ENTIRE STRUCTURE AND CONTENTS CONSISTING OF HOUSEHOLD MATERIAL AND PERSONNEL EFFECTS SEVERE BY FIRE, HEAT, SMOKE AND WATER.","20,000","15,000",,1,,,East
30002662,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 8:42:41 PM,,,,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,,,Water Tanker,,0,,"ENTIRE STRUCTURE AND CONTENTS CONSISTING OF HOUSEHOLD MATERIAL AND PERSONNEL EFFECTS SEVERE BY FIRE, HEAT, SMOKE AND WATER.","20,000","15,000",,1,,,East
30002662,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 8:42:41 PM,,,,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,,,,,0,,"ENTIRE STRUCTURE AND CONTENTS CONSISTING OF HOUSEHOLD MATERIAL AND PERSONNEL EFFECTS SEVERE BY FIRE, HEAT, SMOKE AND WATER.","20,000","15,000",,1,,,East
30002663,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 8:50:15 PM,,IMPERIAL CRESCENT,BEACON VALLEY,Special Service,,,,,Patients removed to hospital by metro amb and er 24 amb,,,,,,,,,,,,,East
30002664,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 8:55:50 PM,,N1 HIGHWAY,PAROW NORTH,Special Service,,,,,,,,,,,,,,,,,,North
30002665,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 9:01:02 PM,,MAPHONGWANA AVENUE,MXOLISI PHETANI,,,,,,,,,,,,,,,,,,,
30002666,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (OTHER),10/1/2016 9:09:30 PM,38,SIYABONGA ROAD,DUNOON,,,,,,,,,,,,,,,,,,,
30002667,VEHICLE MOVEMENT,OPERATIONAL STANDBY,10/1/2016 9:39:06 PM,,BATANDWA NDONDO ROAD,MANDELA PARK,,,,,,,,,,,,,,,,,,,
30002668,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 9:56:39 PM,35FIFTH,LAVIS DRIVE,MODDERDAM,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,Brigade first arriving units,10 - 15 min,,,0,,"Entire structure and contents consisting of household furniture and personal effects severed by fire, heat, smoke and water.","3,000","5,000",1,1,City of Cape Town,Unknown,North
30002668,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/1/2016 9:56:39 PM,35FIFTH,LAVIS DRIVE,MODDERDAM,Fire manually extinguished,,10 - 15 Deg,Light Breeze,Clear,Brigade first arriving units,5 - 10 min,Water Tanker,,0,,"Entire structure and contents consisting of household furniture and personal effects severed by fire, heat, smoke and water.","3,000","5,000",1,1,City of Cape Town,Unknown,North
30002669,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 10:08:38 PM,93,EXCELSIOR STREET,HIGHBURY,Special Service,,,,,SAPS and Med- Life Paramedic Services on scene.,,,,,,,0,0,,,,,East
30002670,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 10:24:32 PM,22160,LEMBEDE CRESCENT,MANDELA PARK,,,,,,,,,,,,,,,,,,,
30002671,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 10:27:16 PM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,one adult male was brought to the fire station.,,,,,,,,,,,,,West
30002672,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - WEAPON (GUNSHOT),10/1/2016 10:41:41 PM,148,SIKELELA ROAD,KALKFONTEIN 1,,,,,,,,,,,,,,,,,,,
30002673,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/1/2016 10:53:23 PM,157,MEW ROAD,ENDLOVINI INFORMAL SETTLEMENT,Fire manually extinguished,,20 - 25 Deg,Light Breeze,Clear,,,,,,,entire structure severe by heat smoke and water,"10,000","10,000",,,tebogo kalocbas,,East
30002674,OTHER FIRE,"OTHER FIRE - RUBBISH, GRASS AND BUSH",10/1/2016 11:02:04 PM,,BINNEMAN STREET,OAKDALE,Fire manually extinguished,,15 - 20 Deg,Light Breeze,Fine,Extinguished prior arrival of brigade.,,,,,,,,,,,,,North
30002675,SPECIAL INCIDENTS - FIRE SERVICE,FIRE SERVICE MISCELLANEOUS - ASSIST PRIVATE COMPAN,10/1/2016 11:11:40 PM,149,DANIELL ROAD,SANDDRIFT,,,,,,,,,,,,,,,,,,,
30002676,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/1/2016 11:12:26 PM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,one adult female brought to the fire station.,,,,,,,,,,,,,West
30002677,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/1/2016 11:59:33 PM,,SUNRISE CIRCLE,MAITLAND,Special Service,,,,,,,,,,,,,,,,,,North
30002678,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/2/2016 12:16:50 AM,,KOEBERG ROAD,MILNERTON,Special Service,,,,,"nil
",,,,,,,,,,,,,North
30002679,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/2/2016 12:32:17 AM,,HOUT BAY MAIN ROAD,HOUT BAY,Special Service,,,,,one adult male was brought to the station.,,,,,,,,,,,,,West
30002680,MOTOR VEHICLE ACCIDENT,PEDESTRIAN VEHICLE ACCIDENT (PVA ),10/2/2016 12:35:05 AM,,KLIPFONTEIN ROAD,CROSSROADS,Special Service,,,,,Patient removed by metro ambulance prior arrival of brigade.,,,,,,,0,0,,,,,East
30002681,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 12:40:56 AM,,OLIVER TAMBO AVENUE,PHILIPPI,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,"Residents endeavoured to extinguish fire with water buckets and sand.
",,Street Hydrant,,0,,,"200,000","40,000",,,City of Cape Town,Asekhona Gola and others,East
30002681,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 12:40:56 AM,,OLIVER TAMBO AVENUE,PHILIPPI,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,"Residents endeavoured to extinguish fire with water buckets and sand.
",,Water Tanker,,0,,,"200,000","40,000",,,City of Cape Town,Asekhona Gola and others,East
30002681,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 12:40:56 AM,,OLIVER TAMBO AVENUE,PHILIPPI,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,"Residents endeavoured to extinguish fire with water buckets and sand.
",,,625Kpa 19mm Nozzle,"403,870",,,"200,000","40,000",,,City of Cape Town,Asekhona Gola and others,East
30002681,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 12:40:56 AM,,OLIVER TAMBO AVENUE,PHILIPPI,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Fine,"Residents endeavoured to extinguish fire with water buckets and sand.
",,,,0,,,"200,000","40,000",,,City of Cape Town,Asekhona Gola and others,East
30002682,VEHICLE MOVEMENT,OPERATIONAL STANDBY,10/2/2016 1:13:59 AM,,GOVAN MBEKI ROAD,PHILIPPI,,,,,,,,,,,,,,,,,,,
30002683,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/2/2016 1:26:00 AM,,LADIES MILE ROAD,CONSTANTIA,Special Service,,,,,,,,,,,,,,,,,,West
30002684,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/2/2016 1:34:26 AM,,OLD FAURE ROAD,DRIFTSANDS,,,,,,,,,,,,,,,,,,,
30002685,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 1:54:23 AM,,SAM NJOKOZELA AVENUE,BLOEKOMBOS,Fire manually extinguished,,0 - 10 Deg,Light Breeze,Clear,"
Bystanders & neighbours attempted to Extinguished fire with garden hose & buckets of water, etc.

",,,,0,,"Entire building- Roof, ceiling, walls, doors and floors and a Wood & Iron structure link to the building was serve by fire, heat, smoke and water.","75,000","150,000",1,1,City of Cape town,,North
30002686,VEHICLE MOVEMENT,OPERATIONAL STANDBY,10/2/2016 2:06:34 AM,5,VIKING ROAD,THORNTON,,,,,,,,,,,,,,,,,,,
30002687,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/2/2016 2:21:11 AM,,KOEBERG ROAD,MILNERTON,Special Service,,,,,"nil
",,,,,,,,,,,,,North
30002688,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/2/2016 3:16:20 AM,,ZIQHAMO AVENUE,MFULENI,,,,,,,,,,,,,,,,,,,
30002689,TRAUMA EMERGENCY - ASSAULT,TRAUMA - ASSAULT - PHYSICAL,10/2/2016 3:24:02 AM,,KOEBERG ROAD,MILNERTON,Special Service,,,,,"nil
",,,,,,,,,,,,,North
30002690,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/2/2016 4:03:08 AM,,,,Special Service,,,,,nil,,,,,,,0,0,,,,,North
30002691,MOTOR VEHICLE ACCIDENT,MOTOR VEHICLE ACCIDENT (MVA),10/2/2016 5:57:20 AM,,,MXOLISI PHETANI,Special Service,,,,,,,,,,,,,,,,,,East
30002692,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 1:46:14 AM,,ACRE ROAD,KENSINGTON,Fire manually extinguished,,10 - 15 Deg,Moderate,Clear,,15 - 20 min,Water Tanker,,0,,"Entire structure severed by fire, heat, smoke and water.","56,000","70,000",1,14,Ndabeni Communal Property Trust,,North
30002692,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 1:46:14 AM,,ACRE ROAD,KENSINGTON,Fire manually extinguished,,10 - 15 Deg,Moderate,Clear,,15 - 20 min,,,0,,"Entire structure severed by fire, heat, smoke and water.","56,000","70,000",1,14,Ndabeni Communal Property Trust,,North
30002692,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 1:46:14 AM,,ACRE ROAD,KENSINGTON,Fire manually extinguished,,10 - 15 Deg,Moderate,Clear,,20 - 25 min,,,0,,"Entire structure severed by fire, heat, smoke and water.","56,000","70,000",1,14,Ndabeni Communal Property Trust,,North
30002692,RESIDENTIAL FIRE,RESIDENTIAL FIRE - INFORMAL,10/2/2016 1:46:14 AM,,ACRE ROAD,KENSINGTON,Fire manually extinguished,,10 - 15 Deg,Moderate,Clear,,,,,0,,"Entire structure severed by fire, heat, smoke and water.","56,000","70,000",1,14,Ndabeni Communal Property Trust,,North
