 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1601/2078,Commercial,Offices,1601,01/19/2016,18:15|18:15|18:15|18:15,11|Telephone direct|Telephone|T,Vegetation Fire,95,,GEORGE STREET,STRAND,HELDERBERG,121,CZ/73,,,,F=SND,00:22|00:19|00:03,Fire - manually extinguished,Commercial|Offices,Fine,Moderate,20 - 25 Deg,"Combustible Material, Etc.,",Minor Structural Fire,,Extinguished With 1 Jet From Echo 40 Motor Pump,2 X 30m X 45mm Hose,Heating,Spontaneous Ignition,800,,MP,12:05:00 AM,"Wendy House Used As Office: Rear And Side Of Structure Severe By Fire, Heat, Smoke And Water.|Contents: Fridge Vehicle Door Panels, Tools Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,,1,,,East,Strand|Mfuleni,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516608555
F1601/0223,Commercial,Offices,1601,01/02/2016,15:47|15:48|15:48|15:48,"13|Direct 107""|Direct ""107"" call|D""",Vegetation Fire,Behind The Parow Diesel Depo,,Stellenberg Road,RAVENSMEAD,TYGERBERG,CA/CB : 45/46,39,,Piekstaal,,F=BVL,01:23:00 AM,Fire - automatically extinguished,Commercial|Shops,Fine,Light Breeze,Over 30 Deg,Office And Bush And Grass,Minor Vegetation Fire|Minor Structural Fire,Fire Was Extinghuised By Member Of Thorburn Security Services Using A First Aid Hosereel,Brigade Gain Entrance To Office By Removing Burglar Bars To Ensure Fire Are Extinghuised In Office Area,First Aid Hosereel On Premises,Arson,Suspect Arson As Window Was Broken And Burning Papers Was Stuffed Through Broken Window Also Setteing Bush And Grass Alight,,,,,Gate Lock Cut By Brigade. Burglar Bar At Window Cut By Brigade. Fire Damage To Paper Work And Office Equipment. Bush And Grass That Burned,Smoke Damage To Office And Electronic Equipment,,Yes. Cut Open Burglar Bars With Carborandum Cutters As Well As Lock On Gate,,,,,,,,,,,,,,,East,Bellville,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515050651
F1601/2306,Commercial,Offices,1601,01/21/2016,21:55|21:57|21:57|21:57,11|Telephone direct|Telephone|T,Building Alight,8,,1st Avenue,BOSTON,TYGERBERG,27,BW/BX 46/47/48,,,WARD 2 ( SC 6 ),F=BVL,01:07|01:48|01:42,Fire - manually extinguished,Commercial|Offices,Fine,Light Breeze,20 - 25 Deg,"A Computer, A Desk And Files Etc.",Average Structural Fire,,Brigade Extringuished Fire Usng 1 X Fog Jet From E36,"1 X Hosereel, 2 X Ba Sets Used For 20mins And Ppv.",Electrical Faults,"Electrical Wiring Short Circuitng, Overheating, Flaring Flaring Up And Setting A Computer Alight.",1800,,MP,12:15:00 AM,"Room At Rear - Building: Consisting Of Roof, Roofing Timbers, Ceiling, Walls, Windows , Doors And Floors Severe By Fire, Heat, Smoke And Water. Remainder Of Building Slight By Heat And Smoke Only. Contents Consisting Of Computer, Files, Desk, And Office Contents Etc, Severe By Fire, Heat, Smoke And Water Remainder Of Contents Slight By Heat And Smoke Only.",,,,,,,,,,,,,,,1,,,North,Bellville|Durbanville,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516700582
F1602/0081,Commercial,Offices,1602,02/01/2016,18:39|18:40|18:40|18:40,11|Telephone direct|Telephone|T,"Offices Alight, Sixth",Metropolitan Building,,COEN STEYTLER AVENUE,CENTRAL,CAPE TOWN,34,BZ/24,,Lower Long,,F=RDS,00:39|00:31|00:40|00:27,Fire - manually extinguished,Commercial|Offices,Fine,Moderate,20 - 25 Deg,Insulation Of Electrical Wiring Etc In Flourescent Light Fitting,Minor Structural Fire,Extinguished By Security Personel With One Dry Powder Extinguisher.,,,Electrical Faults,Electrical Fault,,,,,"Building:6th Floor:lift Foyer: 1 Flourescent Light Fitting Severe By Fire, Heat, Smoke And Water. Contents: Nil",,,,,,,,,,,,,,,,,,West,Roeland Street|Brooklyn,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517646288
F1602/0109,Commercial,Offices,1602,02/02/2016,01:59|02:00|02:00|02:00,"13|Direct 107""|Direct ""107"" call|D""",Vegetation Fire,Camps Bay Sportsground,,CAMPS BAY DRIVE,CAMPS BAY,CAPE TOWN,98(14TH EDITION),CD/CF/18/20,,,WARD 74 ( SC 16 ),F=SPT,01:44|01:41|01:10|01:55|00:25,Fire - manually extinguished,Commercial|Offices,Clear,Light Breeze,25 - 30 Deg,Nutec Office Building And A Medium Area Of Vegetation.,Minor Vegetation Fire|Average Structural Fire,Adt Security In Attendance,Extinguish With Two Fogjets From E48(6000litres)And Two Fogjets From E17(6000litres)Backed Up By W03c(6000litres)And Using One Baset For (10min),"4xhosereels, Onexba(10min), One 65mm Hose",Electrical Faults,Suspect Short Circuit In Electrical Wiring In Bar Fridge,18000,,MP|WT|SH,12:30:00 AM,"Entire Structure And Contents And Surounding Vegetation Severe By Heat, Fire Smoke And Water.",,,,,,,,,,,,,,1,1,,,West,Sea Point|Roeland Street|Milnerton,Category 3|Offices (3 Storeys Or Less),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519204663
F1602/0264,Commercial,Offices,1602,02/04/2016,02:22|02:24|02:24|02:24,"13|Direct 107""|Direct ""107"" call|D""","Building, Offices Alight",Penta Bussiness Park,,BERKLEY RD (BETWEEN BLACK RIVER PARK WAY AND ALEXANDER RD),MAITLAND,BLAAUWBERG,83(14TH EDITION),CB/30,,,,F=BKN,00:29|00:01|00:20|00:25|00:20,Fire - manually extinguished,"Other|Rubbish, Grass & Bush",Fine,Light Breeze,15 - 20 Deg,Rubbish Alight,Rubbish Fire,Owner Used Fire Extinguisher To Extinguished Fire,Brigade Extinguished Fire,One Fog Jet From E14 Motor Pump And Positive Pressure Ventilation.,Undetermined,Undetermined,,,,,,,,,,,,,,,,,,,1,,,,North,Brooklyn|Salt River,Category 1|No Charge,,Nil,Nil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520026692
F1602/0955,Commercial,Offices,1602,02/11/2016,16:15|16:16|16:16|16:16,11|Telephone direct|Telephone|T,Can See Smoke Issuing From Station,West Navy Yard,Navy Operations Building,MAIN ROAD (M4),SIMONSTOWN,SOUTH PENINSULA,129,DF/24,,,,F=SMT,12:22:00 AM,False Alarm - Good Intent,Commercial|Offices,Fine,Light Breeze,Over 30 Deg,,False Alarm,,,,,FAGI Due To Smoke From Diesel Bowser Being Mistaken For Building Alight,,,,,,,,,,,,,,,,,,,1,,,,West,Simonstown,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518509450
F1602/1532,Commercial,Offices,1602,02/18/2016,06:35|06:36|06:36|06:36,11|Telephone direct|Telephone|T,FIRE IN One Of The Offices,Cornation Court,,VAN WYK STREET,MAITLAND,BLAAUWBERG,83(14TH EDITION),CA/30,,,,F=BKN,01:37|01:14|00:43,Fire - manually extinguished,Commercial|Offices,Overcast,Light Breeze,15 - 20 Deg,"Paper, Office Desk,",Minor Structural Fire,Occupants Of Building Had One Hose Reel In Use,Ventilated Office Area And Ensured Area Was Safe,"Positive Pressure Ventilator, 2x S.C.B.A. Sets",Arson,Suspected Arson,,300,PH,,"Building: Office On First Floor;ceiling, Walls And Floor Severe By Fire, Heat Smoke And Water. Remainder Of Building Severe By Smoke And Water Only. Contents: Contents Consisting Of Electrical Lighting And Electrical Equipment Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,,,,North,Brooklyn|Salt River|Roeland Street,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520779447
F1602/2104,Commercial,Offices,1602,02/25/2016,16:59|17:01|17:01|17:01,"13|Direct 107""|Direct ""107"" call|D""","Building Alight, Name Of Building Unknown",,,SHORTMARKET STREET,CENTRAL,CAPE TOWN,34,CA/23,,,,F=RDS,00:32|00:20|00:30|00:24|00:39,Fire - manually extinguished,Commercial|Offices,Fine,Nil,20 - 25 Deg,Pvc Piping On Roof,Minor Structural Fire,Fire Extinguished By Workers With Bucket Of Water,,,Smoking,Occupant Dropping A Light,,,,,"Building:nil|Contents: A Quantity Of Pvc Piping On Roof Severe By Fire, Heats, Smoke And Water.",,,,,,,,,,,,,,1,,,,West,Roeland Street,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520078240
F1601/0558,Commercial,Offices,1601,01/06/2016,06:14|06:15|06:15|06:15,41|Radio|Radio|R,Smoke Issuing From Disaster Management Offices,GWD STATION|GOODWOOD FIRE,,HUGO STREET,GOODWOOD,TYGERBERG,25,BX/40,,FRANS CONRADIE STREET,,F=GWD,00:28|00:37|00:13,Fire - automatically extinguished,Commercial|Offices,Clear,Light Breeze,20 - 25 Deg,Insulation Of Electrical Wiring In A Fluorescent Light Fitting In Server Room On First Floor,Minor Structural Fire,D/M Security Officials Had Reported The Smell Of Smoke To Fire Service Officer (Mr. Latsky).,Investigated To Ensure Fire Was Out And Area Was Safe.,One Thermal Camera,Electrical Faults,Sparks From Short-Circuit In Electrical Wiring Of A Fluorescent Light Fitting Igniting Insulation.,,,,,"Building: Server Room On First Floor - D/M Offices - Small Section Of Ceiling Slight By Fire, Heat, Smoke And Water. / Contents - Server Room On First Floor - One Fluorescent Light Fitting Severe By Fire, Heat, Smoke And Water.",,,,,,,,,,,,,,1,,,,North,Goodwood|Epping|Milnerton,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517243152
F1603/0019,Commercial,Offices,1603,03/01/2016,08:58|08:59|08:59|09:00,11|Telephone direct|Telephone|T,Fire In The Roof,Pantha Park - Zimba Traders,,BERKLEY RD (BETWEEN ALEXANDER RD AND SUNRISE CIRCLE),NDABENI,CAPE TOWN,83/84(14TH EDITION),CB/30-32,,,,F=BKN,01:28|00:31|01:14|00:38,Fire - manually extinguished,Industry|Electronics,Clear,Nil,Over 30 Deg,Insulation Of Electrical Cables On Roof,Minor Structural Fire,Extinguished By Factory Staff With Several Dry Chemical Powder Extinguishers,Ensured Area Was Safe,"H08 Hydraulic Platform, Thermal Imaging Camera",Electrical Faults,Sparks From Short Circuit In Electrical Cables Overheating And Igniting Insulation,,,,,"A Section Of Electrical Cable Insulation On Side Of Roof, Severe By Fire, Heat And Smoke.Remainder Of Building And Contents Nil.",,,,,,,,,,,,,,,,,,North,Brooklyn|Epping|Roeland Street,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520778340
F1603/0213,Commercial,Offices,1603,03/03/2016,14:40|14:41|14:41|14:41,11|Telephone direct|Telephone|T,Building Alight,,,LONG STREET,CENTRAL,CAPE TOWN,25/26,CA/23-CB/22,,Buiten,,F=RDS,00:30|00:25|00:57|00:30,Fire - manually extinguished,Commercial|Restaurants & Cafes,,,,,Minor Structural Fire,Fire Out Before Arrival,Instructed Owners To Extinguish Braai Fire On 1st Floor Balcony,,Cooking,Braai Fire Igniting Foam Seat,,,,,,,,,,,,,,,,,,,1,,,,West,Roeland Street|Salt River,Category 2|Commercial (Low Risk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520286257
F1603/0747,Commercial,Offices,1603,03/10/2016,07:41|07:42|07:42|07:42,11|Telephone direct|Telephone|T,Buidling Alight - Single Storey,"Med24,",,WESFLEUR CIRCLE,ATLANTIS,BLAAUWBERG,199 (16TH ED),AH/32,,,,F=ATS,02:10|02:10|01:22|00:00|02:51|00:06,Fire - manually extinguished,Commercial|Restaurants & Cafes,Clear,Light Breeze,15 - 20 Deg,,Average Structural Fire,,Extinguished Fire,"3x 65mm Hose, 1x Akron Branch, 3x Hosereels, 4x Ba Sets, 1x Ppv",Electrical Faults,,,,MP|WT|PH,,"Roof Section, Doors, Windows, Ceiliings",,,,,,,,,,,,,,,,,,North,Atlantis|Melkbos,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520971684
