 Incident number, Incident category, Incident sub-category, Year Month (YYMM), Date of IncidentD, Time of IncidentMT, Method Incident Notified, Callers Statement,Location,Complex ,Street,Suburb,Town ,Map Page,Grid ,Robot route used ,Cross roads,Statistics area,Station Area,Vehicles - Elapsed Times MT,FPA Classification,FPA Occupancy ,Weather ,Wind ,Temperature,What Was Burning ,Description of Incident,Actions Prior To Arrival,Actions of Brigade,Equipment used,FPA Suspected Cause ,Details of cause ,Water Used (Charged)MR,Water Used (Uncharged)MR,Source of water,Pumping Time Hh:mm MT,Fire Damage - Details,Smoke Damage - Details ,Water Damage - Details ,Forced Entry,Accident Vehicles - Make,Accident Vehicles - Details,Accident Vehicles - Owners,Person Involved - Sex,Person Involved - Age,Person Involved - Injury,Person Involved - Rescued ,Person Involved - Fatal,Person Involved - Comments,Total Fatal Adult\child,Remarks ,Account for,Material Usage Description,Material Usage Charge,District,Station/S Responded ,Fire Category ,No. Sectors Implemented,Zones Implemented,Holding Area/S,Number of linked exposures,Incident Management (Y/N) ,Enumerator area,Situation found,Type of action taken,Mutual Aid ,Ignition factor,Area of origin,Level of fire origin,Form of heat,Type material ignited,Form material ignited,Method extinguished ,Flame damage,Smoke damage,Detector performance,Sprinkler performance,Property use,Complex ,Number of stories,Construction type,Mobile Property type,Equip inv in ignition,Equipment year,Equipment make,Equipment model,Civilian or Fire Service,Time of Injury,Casualty type ,Severity,Affiliation,Familiarity with structure,Location at ignition,Condition before injury,Condition preventing escape,Activity at time injury,Cause of injury,Nature of injury ,Part of body injured,Disposition,Assignment ,Num responses prior injury,Physical condition,Status before Alarm ,Fireman Activity ,Where injury occurred,Cause of Injury,Medical care provided,Clothing/Equip Worn ,Clothing/Equip Status,Clothing/Equip problem ,Hazmat Actions,Area of Release,Level of Release ,Release Factors,Equipment involved in Release,Est num of chemicals/Hazmat,Disposition of incident,Ref Mat used to identify,Chem/Hazmat Trade Name ,UN Number,Physical state stored,Extent of Release,Physical State Released,Quantity Released,Released Unit of Measure,Suspected contamination,Container use ,Special container features,Container Type,Container material,Container capacity,Container Unit of measure ,Transport Type,NESD update control 
F1607/1256,Commercial,Shop,1607,07/25/2016,11:14|11:17|11:17|11:17,11|Telephone direct|Telephone|T,,Milstone Cafe,,Alexandra Road,NDABENI,CAPE TOWN,CB/31/32-CC/31/32,36,,,,"F=EPG,BKN",00:02|00:30|00:23|00:27,Fire - manually extinguished,Commercial|Restaurants & Cafes,Overcast,Light Breeze,15 - 20 Deg,Accumulated Coaldust And Ash In A Chimney Flue.,Minor Structural Fire,Extinguished By Restaurant Employees With A Garden Hose.,Investigated To Ensure Area Was Safe,One Thermal Camera,Open Flames,Sparks From Fire Made In Hearth Igniting Accumulated Coal Dust And Ash In Chimney Flue,,,,,"Restaurant Entrance - One Chimey Flue And Hearth Slight By Fire, Heat, Smoke And Water. / Remainder Of Building - Nil. No Contents Damage.",,,,,,,,,,,,,,,,,,North,Brooklyn|Epping|Milnerton,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533397950
F1607/1368,Commercial,Offices,1607,07/28/2016,06:19|06:20|06:20|06:20,11|Telephone direct|Telephone|T,Wood And Iron Structure (S) Alight,Epping Market Informal,,GUNNERS CIRCLE,EPPING 1,CAPE TOWN,29,CB/CC/36/38,,,,F=EPG,01:47|00:39|00:32|01:11,Fire - manually extinguished,Storage|Warehouses,Overcast,Light Breeze,15 - 20 Deg,Airconditioning Unit,Minor Structural Fire,,Extinguished Fire Using 1 X Fog Jet From E19 Motor Pump,"1 X Hosereel, 2 X B.A Sets(10min)",Electrical Faults,Insulation Of Electrical Wiring Overheating And Igniting,600,,MP|SH,12:05:00 AM,Building:3 X Office Spaces Slight By Smoke Only:|Contents:aircondition Unit Severe By Fire Heat Smoke And Water.,,,,,,,,,,,,,,1,1,,,North,Epping|Roeland Street,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534018973
F1608/0060,Commercial,Shop,1608,08/01/2016,21:44|21:46|21:46|21:46,11|Telephone direct|Telephone|T,Laundromat Alight,No.267,Beautiful Laundromat,MAIN ROAD,SEA POINT,CAPE TOWN,25,BZ/19,,,WARD 54 ( SC 16 ),F=SPT,00:48|00:32|00:49,Fire - manually extinguished,Commercial|Shops,Fine,Nil,15 - 20 Deg,Clothing Stacked On Two Steel Tables,Minor Structural Fire,,Extinguished With One Fog Jet And 2 Ba Sets From E48(2400 Litres),One Hosereel;two Ba Sets And One Ppv,Electrical Faults,Electrical,2400,,MP,12:20:00 AM,"Building: Laundromat On Ground Floor In Front - Ceiling, Walls, Windows, Floor And Doors Severe By Heat, Smoke And Water. Contents: Clothing And Two Tables Severe Byfire, Heat, Smoke And Water",Remainder Of Furniture And Appliances Affected,,Brigade Affected Entry By Forcing Glass Panel On Side Of Front Door.,,,,,,,,,,,1,1,,,West,Sea Point|Roeland Street|Milnerton,Category 2|Commercial (Low Risk),,Nil,Nil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538470871
F1608/0149,Commercial,Offices,1608,08/03/2016,21:32|21:33|21:33|21:33,11|Telephone direct|Telephone|T,Fire Alarm Activated In Basement,Durban Square,,26 BELLA ROSA STREET,ROSENDAL,TYGERBERG,27 (61 14TH EDITION),BT;BU/49,,,,F=DBV,00:40|00:38|00:01|00:31|00:51,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,"Searched Third Floor Of Buiding Could See No Sign Of Smoke Or Fire, Faulty Fire Alarm System.",Nil,,Electrical Fault On Fire Alarm Panel.,,,,,,,,,,,,,,,,,,,,,,,North,Durbanville|Bellville|Roeland Street|Milnerton,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1608/0195,Commercial,Shop,1608,08/04/2016,22:24|22:25|22:25|22:25,11|Telephone direct|Telephone|T,Building Alight,Kekkel And Kraai,,GUNNERS CIRCLE,EPPING 1,CAPE TOWN,29,CB/CC/36/38,,,,F=EPG,00:43|00:43|00:26,Fire - manually extinguished,Commercial|Shops,Clear,Light Breeze,10 - 15 Deg,Computer Equipment Etc,Minor Structural Fire,,Extinguished With One Jet From Echo 19 Motor Pump.,"1 X 65mm, 1 X 45mm Hose, 4 X S.C.B.A. Sets ( 15mins )",Electrical Faults,Sparks From Short Circuit In Electrical Wiring Overheating And Igniting Insulation.,18060,,MP,12:30:00 AM,"Building: Concrete Roof, Walls, Windows, And Floor Severe By Fire, Heat, Smoke And Water. The Remainder Slight By Smoke Only.|Contents: Consisting Of Shop Furniture, Food Stock Items And Computer Equipment Etc, Severe By Fire, Heat, Smoke And Water. The Remainder Slight By Smoke Only.",,,Forced Front Wooden Double Door.,,,,,,,,,,,1,1,,,North,Epping|Milnerton,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534015994
F1608/0222,Commercial,Garage/Workshop,1608,08/05/2016,12:52|12:54|12:54|12:54,11|Telephone direct|Telephone|T,Factory Alight,"4,",,Kariga Street,Stikland Industria,,,,,,,F=BVL,01:13|01:03|01:22,Fire - manually extinguished,Commercial|Garages & Workshops,Clear,Light Breeze,20 - 25 Deg,Two X Motor Vehicles And The Roof Insulation/,Minor Structural Fire,The Persons Working By The Company Tried Extinguishing The Fire With Dry Powder Fire Extinguishers 10 Extinguishers Was Used,Extinguished The Fire With Water From Echo 15,1 X Fog Jet From Echo 15,Electrical Faults,A Short On A Electrical Fuel Pump That Was Fitted To The Sierra Caused The Fire.,650,,MP|MP,12:41:00 AM,1 X Motor Vehicle Sierra Burnt Out On Ahoist And A Isuzu Bakkie Damaged By The Heat And Coals From The Sierra Fire Which Was Higher Parked Than The Isuzu. The Insulation From The Asbestos Roofing Also Caught Alight And Was Brought Under Control Without Further Damage Caused To The Building.,Minimal,,,,,,,,,,,,,1,1,,,East,Bellville|Kuilsrivier,Category 2|Commercial (Low Risk),,Nil,Nil,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533905153
F1608/0267,Commercial,Restaurant/Cafe,1608,08/06/2016,05:54|05:55|05:55|05:55,11|Telephone direct|Telephone|T,Smoke Isuing From Building,Inside On Fire,,MARINE CIRCLE,TABLE VIEW,BLAAUWBERG,,,,,WARD 107 ( SC 1 ),F=MIL,00:26|00:20|00:22,False Alarm - Good Intent,Commercial|Restaurants & Cafes,,,,,False Alarm,,,,N/A,False Alarm With Good Intent Due To A Vragrants Brazier Fire Being Mistaken For A Building Fire,,,,,,,,,,,,,,,,,,,,,,,North,Milnerton|Melkbos,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534150221
F1608/0465,Commercial,Shop,1608,08/09/2016,07:25|07:26|07:26|07:26,11|Telephone direct|Telephone|T,Smoke In Building - Not Sure Wat Is Alight,SHOPRITE PARK,,JEAN SIMONS STREET,PAROW,TYGERBERG,87,BY/44,,VOORTREKKER ROAD,,F=GWD,00:26|00:25|00:16,False Alarm - Good Intent,Residential|Formal,,,,,False Alarm,,,,,False Alarm With Good Intent Due To Smell Of Smoke Mistaken In The Area For A Building Fire,,,,,,,,,,,,,,,,,,,,,,,North,Goodwood|Milnerton|Bellville,Category 1|No Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1608/0496,Commercial,Shop,1608,08/09/2016,22:05|22:07|22:07|22:07,11|Telephone direct|Telephone|T,Wood And Iron Structure Alight,KHAYELITSHA RAILWAY STATION,,KWEZI CRESCENT,KHAYELITSHA,TYGERBERG,146(14TH EDITION),CQ/53,,NTLAZANE ROAD,,F=KYA,01:19|01:27|01:17|01:14|01:22,Fire - manually extinguished,Commercial|Shops,Clear,Nil,15 - 20 Deg,"Wholesale Food Items, Etc.",Average Structural Fire,Saps On Scene,Extinguished Fire With Water Using 2 Jets From E18 Backed Up By W22a And B01,4x45mm Hose And 2 Branches,Other,Unknown Ingnition Source Igniting Combustable Material Inside Structure,15700,,MP|WT,01:03:00 AM,Entire Structures (2) And Contents Destroyed By Fire Heat Smoke And Water,,,,,,,,,,,,,,,1,,,East,Khayelitsha|Lansdowne|Mitchells Plain,Category 2|Commercial (Low Risk),,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534152927
F1608/0499,Commercial,Garage/Workshop,1608,08/10/2016,00:28|00:30|00:30|00:30,11|Telephone direct|Telephone|T,Smell Of Smoke In Building,,,MARCONI ROAD,MONTAGUE GARDENS ,BLAAUWBERG,42(14TH EDITION),"BS,BT/35",,,WARD 4 ( SC 1 ),F=MIL,00:40|00:30|00:23,False Alarm - Good Intent,Commercial|Garages & Workshops,,,,,,,,,,False Alarm With Good Intent Due To Burglary At Premises Being Mistaken For Smoke Issuing,,,,,,,,,,,,,,,,,,,,,,,North,Milnerton|Brooklyn,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534149400
F1608/0503,Commercial,Offices,1608,08/10/2016,06:21|06:24|06:24|06:24,11|Telephone direct|Telephone|T,Smell Of Smoke In The Office,Kagiso Asset Management,,C/O MAIN ROAD AND PROTEA ROAD,CLAREMONT,SOUTH PENINSULA,45,CH/29,,PROTEA ROAD,,F=WBG,00:42|00:44|00:07|00:59|00:33,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,,,,False Alarm With Good Intent,,,,,,,,,,,,,,,,,,,,,,,West,Wynberg|Salt River|Roeland Street|Lakeside,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1608/0603,Commercial,Offices,1608,08/12/2016,17:15|17:17|17:17|17:17,"13|Direct 107""|Direct ""107"" call|D""",Smoke Issuing From Wall Plug,"222,",,MAIN ROAD,RONDEBOSCH,CAPE TOWN,101,"CE,CF/29",,Klipper Road,,F=SLR,00:57|00:58|01:06,False Alarm - Good Intent,Commercial|Offices,,,,,False Alarm,,Made Area Safe.,1 X Short Extention Ladder And 1 X Thermal Imaging Camera.,N/A,False Alarm With Good Intent Due To Fumigation Been Mistaken For Smoke Issuing From Office.,,,,,,,,,,,,,,,,,,,,,,,West,Salt River|Roeland Street|Hout Bay,Category 1|No Charge,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
